order_id,restaurant,amount,city
1,Spice Villa,180,Hyderabad
2,Tandoor Express,450,Hyderabad
3,Pizza Craft,320,Bangalore
4,Spice Villa,150,Hyderabad
5,Burger Hub,600,Bangalore
6,Tandoor Express,290,Hyderabad
7,Spice Villa,850,Hyderabad
8,Pizza Craft,410,Bangalore
9,Tandoor Express,220,Hyderabad
10,Burger Hub,350,Bangalore
11,Spice Villa,199,Hyderabad
12,Pizza Craft,540,Bangalore
13,Tandoor Express,720,Hyderabad
14,Burger Hub,160,Bangalore
15,Spice Villa,480,Hyderabad
16,Pizza Craft,310,Bangalore
17,Tandoor Express,620,Hyderabad
18,Burger Hub,270,Bangalore
19,Spice Villa,510,Hyderabad
20,Pizza Craft,390,Bangalore
